"dataset"	"model_code"	"model_mset"	"model_m"	"model_mrate"	"sequence_format"	"matrix_name"	"prefix"	"iqtree_num_threads"	"iqtree_num_bootstraps"	"alignment_file"	"iqtree_file"	"ml_tree_file"	"iqtree2_call"
"Borowiec2015"	"JTT"	"JTT"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.JTT"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.JTT.iqtree"	"Borowiec2015.Best108.JTT.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'JTT'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.JTT "
"Borowiec2015"	"JTTDCMut"	"JTTDCMut"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.JTTDCMut"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.JTTDCMut.iqtree"	"Borowiec2015.Best108.JTTDCMut.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'JTTDCMut'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.JTTDCMut "
"Borowiec2015"	"LG"	"LG"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.LG"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.LG.iqtree"	"Borowiec2015.Best108.LG.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'LG'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.LG "
"Borowiec2015"	"LG4M"	"LG4M"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.LG4M"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.LG4M.iqtree"	"Borowiec2015.Best108.LG4M.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'LG4M'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.LG4M "
"Borowiec2015"	"mtZOA"	"mtZOA"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.mtZOA"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.mtZOA.iqtree"	"Borowiec2015.Best108.mtZOA.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'mtZOA'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.mtZOA "
"Borowiec2015"	"PMB"	"PMB"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.PMB"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.PMB.iqtree"	"Borowiec2015.Best108.PMB.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'PMB'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.PMB "
"Borowiec2015"	"Poisson"	"Poisson"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.Poisson"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.Poisson.iqtree"	"Borowiec2015.Best108.Poisson.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'Poisson'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.Poisson "
"Borowiec2015"	"rtREV"	"rtREV"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.rtREV"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.rtREV.iqtree"	"Borowiec2015.Best108.rtREV.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'rtREV'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.rtREV "
"Borowiec2015"	"UL2"	"UL2"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.UL2"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.UL2.iqtree"	"Borowiec2015.Best108.UL2.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'UL2'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.UL2 "
"Borowiec2015"	"UL3"	"UL3"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.UL3"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.UL3.iqtree"	"Borowiec2015.Best108.UL3.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'UL3'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.UL3 "
"Borowiec2015"	"WAG"	"WAG"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.WAG"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.WAG.iqtree"	"Borowiec2015.Best108.WAG.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'WAG'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.WAG "
"Borowiec2015"	"ModelFinder"	NA	"MFP"	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.ModelFinder"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.ModelFinder.iqtree"	"Borowiec2015.Best108.ModelFinder.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -m MFP  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.ModelFinder "
"Chang2015"	"LG_C20"	"'LG+C20'"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.LG_C20"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.LG_C20.iqtree"	"Chang2015.Chang_AA.LG_C20.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset ''LG+C20''  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.LG_C20 "
"Chang2015"	"LG_C60"	"'LG+C60'"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.LG_C60"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.LG_C60.iqtree"	"Chang2015.Chang_AA.LG_C60.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset ''LG+C60''  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.LG_C60 "
"Chang2015"	"C20"	"C20"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.C20"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.C20.iqtree"	"Chang2015.Chang_AA.C20.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'C20'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.C20 "
"Chang2015"	"C60"	"C60"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.C60"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.C60.iqtree"	"Chang2015.Chang_AA.C60.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'C60'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.C60 "
"Chang2015"	"CF4"	"CF4"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.CF4"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.CF4.iqtree"	"Chang2015.Chang_AA.CF4.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'CF4'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.CF4 "
"Chang2015"	"EHO"	"EHO"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.EHO"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.EHO.iqtree"	"Chang2015.Chang_AA.EHO.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'EHO'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.EHO "
"Chang2015"	"EX_EHO"	"EX_EHO"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.EX_EHO"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.EX_EHO.iqtree"	"Chang2015.Chang_AA.EX_EHO.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'EX_EHO'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.EX_EHO "
"Chang2015"	"EX2"	"EX2"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.EX2"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.EX2.iqtree"	"Chang2015.Chang_AA.EX2.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'EX2'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.EX2 "
"Chang2015"	"EX3"	"EX3"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.EX3"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.EX3.iqtree"	"Chang2015.Chang_AA.EX3.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'EX3'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.EX3 "
"Chang2015"	"GTR20"	"GTR20"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.GTR20"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.GTR20.iqtree"	"Chang2015.Chang_AA.GTR20.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'GTR20'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.GTR20 "
"Chang2015"	"JTT"	"JTT"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.JTT"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.JTT.iqtree"	"Chang2015.Chang_AA.JTT.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'JTT'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.JTT "
"Chang2015"	"JTTDCMut"	"JTTDCMut"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.JTTDCMut"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.JTTDCMut.iqtree"	"Chang2015.Chang_AA.JTTDCMut.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'JTTDCMut'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.JTTDCMut "
"Chang2015"	"LG"	"LG"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.LG"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.LG.iqtree"	"Chang2015.Chang_AA.LG.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'LG'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.LG "
"Chang2015"	"LG4M"	"LG4M"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.LG4M"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.LG4M.iqtree"	"Chang2015.Chang_AA.LG4M.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'LG4M'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.LG4M "
"Chang2015"	"mtZOA"	"mtZOA"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Chang_AA"	"Chang2015.Chang_AA.mtZOA"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"Chang2015.Chang_AA.mtZOA.iqtree"	"Chang2015.Chang_AA.mtZOA.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy -mset 'mtZOA'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Chang2015.Chang_AA.mtZOA "
